NAME          Proxy
ROWS
 N  COST
 E  R00000
 E  R00001
 E  R00002
 E  R00003
 E  R00004
 E  R00005
 E  R00006
 E  R00007
 E  R00008
 E  R00009
 E  R00010
 E  R00011
 E  R00012
 E  R00013
 E  R00014
 E  R00015
 E  R00016
 E  R00017
 E  R00018
 E  R00019
 E  R00020
 E  R00021
 E  R00022
 E  R00023
 E  R00024
 E  R00025
 E  R00026
 E  R00027
 E  R00028
 E  R00029
 E  R00030
 E  R00031
 E  R00032
 E  R00033
 E  R00034
 E  R00035
 E  R00036
 E  R00037
 E  R00038
 E  R00039
 E  R00040
 E  R00041
 E  R00042
 E  R00043
 E  R00044
 E  R00045
 E  R00046
 E  R00047
 E  R00048
 E  R00049
 E  R00050
 E  R00051
 E  R00052
 E  R00053
 E  R00054
 E  R00055
 E  R00056
 E  R00057
 E  R00058
 E  R00059
 E  R00060
 E  R00061
 E  R00062
 E  R00063
 E  R00064
 E  R00065
 E  R00066
 E  R00067
 E  R00068
 E  R00069
 E  R00070
 E  R00071
 E  R00072
 E  R00073
 E  R00074
 E  R00075
 E  R00076
 E  R00077
 E  R00078
 E  R00079
 E  R00080
 E  R00081
 E  R00082
 E  R00083
 E  R00084
 E  R00085
 E  R00086
 E  R00087
 E  R00088
 E  R00089
 E  R00090
 E  R00091
 E  R00092
 E  R00093
 E  R00094
 E  R00095
 E  R00096
 E  R00097
 E  R00098
 E  R00099
 E  R00100
 E  R00101
 E  R00102
 E  R00103
 E  R00104
 E  R00105
 E  R00106
 E  R00107
 E  R00108
 E  R00109
 E  R00110
 E  R00111
 E  R00112
 E  R00113
 E  R00114
 E  R00115
 E  R00116
 E  R00117
 E  R00118
 E  R00119
 E  R00120
 E  R00121
 E  R00122
 E  R00123
 E  R00124
 E  R00125
 E  R00126
 E  R00127
 E  R00128
 E  R00129
 E  R00130
 E  R00131
 E  R00132
 E  R00133
 E  R00134
 E  R00135
 E  R00136
 E  R00137
 E  R00138
 E  R00139
 E  R00140
 E  R00141
 E  R00142
 E  R00143
 E  R00144
 E  R00145
 E  R00146
 E  R00147
 E  R00148
 E  R00149
 E  R00150
 E  R00151
 E  R00152
 E  R00153
 E  R00154
 E  R00155
 E  R00156
 E  R00157
 E  R00158
 E  R00159
 E  R00160
 E  R00161
 E  R00162
 E  R00163
 E  R00164
 E  R00165
 E  R00166
 E  R00167
 E  R00168
 E  R00169
 E  R00170
 E  R00171
 E  R00172
 E  R00173
 E  R00174
 E  R00175
 E  R00176
 E  R00177
 E  R00178
 E  R00179
 E  R00180
 E  R00181
 E  R00182
 E  R00183
 E  R00184
 E  R00185
 E  R00186
 E  R00187
 E  R00188
 E  R00189
 E  R00190
 E  R00191
 E  R00192
 E  R00193
 E  R00194
 E  R00195
