NAME          Proxy
ROWS
 N  COST
 G  R00000
 G  R00001
 G  R00002
 L  R00003
 G  R00004
 G  R00005
 G  R00006
 L  R00007
 G  R00008
 G  R00009
 G  R00010
 L  R00011
 G  R00012
 G  R00013
 G  R00014
 L  R00015
 G  R00016
 G  R00017
 G  R00018
 L  R00019
 G  R00020
 G  R00021
 G  R00022
 L  R00023
 G  R00024
 G  R00025
 G  R00026
 L  R00027
 G  R00028
 G  R00029
 G  R00030
 L  R00031
 G  R00032
 G  R00033
 G  R00034
 L  R00035
 G  R00036
 G  R00037
 G  R00038
 L  R00039
 G  R00040
 G  R00041
 G  R00042
 L  R00043
 G  R00044
 G  R00045
 G  R00046
 L  R00047
 G  R00048
 G  R00049
 G  R00050
 L  R00051
 G  R00052
 G  R00053
 G  R00054
 L  R00055
 G  R00056
 G  R00057
 G  R00058
 L  R00059
 G  R00060
 G  R00061
 G  R00062
 L  R00063
 G  R00064
 G  R00065
 G  R00066
 L  R00067
 G  R00068
 G  R00069
 G  R00070
 L  R00071
 G  R00072
 G  R00073
 G  R00074
 L  R00075
 G  R00076
 G  R00077
 G  R00078
 L  R00079
 G  R00080
 G  R00081
 G  R00082
 L  R00083
 G  R00084
 G  R00085
 G  R00086
 L  R00087
 G  R00088
 G  R00089
 G  R00090
 L  R00091
 G  R00092
 G  R00093
 G  R00094
 L  R00095
 G  R00096
 G  R00097
 G  R00098
 L  R00099
 G  R00100
 G  R00101
 G  R00102
 L  R00103
 G  R00104
 G  R00105
 G  R00106
 L  R00107
 G  R00108
 G  R00109
 G  R00110
 L  R00111
 G  R00112
 G  R00113
 G  R00114
 L  R00115
 G  R00116
 G  R00117
 G  R00118
 L  R00119
 G  R00120
 G  R00121
 G  R00122
 L  R00123
 G  R00124
 G  R00125
 G  R00126
 L  R00127
 E  R00128
 E  R00129
 E  R00130
 E  R00131
 E  R00132
 E  R00133
 E  R00134
 E  R00135
 E  R00136
 E  R00137
 E  R00138
 E  R00139
 E  R00140
 E  R00141
 E  R00142
 E  R00143
 E  R00144
 E  R00145
 E  R00146
 E  R00147
 E  R00148
 E  R00149
 E  R00150
 E  R00151
 E  R00152
 E  R00153
 E  R00154
 E  R00155
 E  R00156
 E  R00157
 E  R00158
 E  R00159
 G  R00160
 G  R00161
 G  R00162
 L  R00163
 G  R00164
 G  R00165
 G  R00166
 L  R00167
 G  R00168
 G  R00169
 G  R00170
 L  R00171
 G  R00172
 G  R00173
 G  R00174
 L  R00175
 G  R00176
 G  R00177
 G  R00178
 L  R00179
 G  R00180
 G  R00181
 G  R00182
 L  R00183
 G  R00184
 G  R00185
 G  R00186
 L  R00187
 G  R00188
 G  R00189
 G  R00190
 L  R00191
 G  R00192
 G  R00193
 G  R00194
 L  R00195
