NAME          Proxy
ROWS
 N  COST
 E  R00000
 E  R00001
 E  R00002
 E  R00003
 E  R00004
 E  R00005
 E  R00006
 E  R00007
 E  R00008
 E  R00009
 E  R00010
 E  R00011
 E  R00012
 E  R00013
 E  R00014
 E  R00015
 E  R00016
 E  R00017
 E  R00018
 E  R00019
 E  R00020
 E  R00021
 E  R00022
 E  R00023
 E  R00024
 E  R00025
 E  R00026
 E  R00027
 E  R00028
 E  R00029
 E  R00030
 E  R00031
 E  R00032
 E  R00033
 E  R00034
 E  R00035
 E  R00036
 E  R00037
 E  R00038
 E  R00039
 E  R00040
 E  R00041
 E  R00042
 E  R00043
 E  R00044
 E  R00045
 E  R00046
 E  R00047
 E  R00048
 E  R00049
 E  R00050
 E  R00051
 E  R00052
 E  R00053
 E  R00054
 E  R00055
 E  R00056
 E  R00057
 E  R00058
 E  R00059
 E  R00060
 E  R00061
 E  R00062
COLUMNS
    X00026  R00024    1.
    X00027  R00025    1.
    X00028  R00026    1.
    X00029  R00027    1.
    X00030  R00028    1.
    X00031  R00029    1.
    X00032  R00030    1.
    X00033  R00031    1.
    X00034  R00032    1.
    X00036  R00033    1.
    X00037  R00034    1.
    X00038  R00035    1.
    X00039  R00036    1.
    X00040  R00037    1.
    X00041  R00038    1.
    X00042  R00039    1.
    X00043  R00040    1.
    X00044  R00041    1.
    X00046  R00042    1.
    X00047  R00043    1.
    X00048  R00044    1.
    X00049  R00045    1.
    X00050  R00046    1.
    X00051  R00047    1.
    X00052  R00048    1.
    X00053  R00049    1.
    X00054  R00050    1.
    X00056  R00051    1.
    X00057  R00052    1.
    X00058  R00053    1.
    X00059  R00054    1.
    X00060  R00055    1.
    X00061  R00056    1.
    X00062  R00057    1.
    X00063  R00058    1.
    X00064  R00059    1.
    X00065  R00060    1.
    X00066  R00061    1.
    X00067  R00062    1.
    X00432  COST    -1.00715
    X00432  R00000    1.
    X00432  R00008    1.
    X00432  R00011    1.
    X00432  R00015    1.
    X00433  COST    -0.979936
    X00433  R00001    1.
    X00433  R00008    1.
    X00433  R00009    1.
    X00433  R00012    1.
    X00434  COST    0.994647
    X00434  R00002    1.
    X00434  R00005    1.
    X00434  R00012    1.
    X00434  R00013    1.
    X00434  R00014    1.
    X00434  R00015    1.
    X00435  COST    -0.992439
    X00435  R00003    1.
    X00435  R00010    1.
    X00435  R00013    1.
    X00435  R00014    1.
    X00435  R00023    1.
    X00436  COST    1.00265
    X00436  R00001    1.
    X00436  R00004    1.
    X00436  R00008    1.
    X00436  R00012    1.
    X00436  R00022    1.
    X00437  COST    1.00644
    X00437  R00005    1.
    X00437  R00014    1.
    X00438  COST    1.00724
    X00438  R00006    1.
    X00438  R00010    1.
    X00438  R00014    1.
    X00439  COST    0.997589
    X00439  R00007    1.
    X00439  R00008    1.
    X00439  R00014    1.
    X00439  R00019    1.
    X00440  COST    -1.0148
    X00440  R00004    1.
    X00440  R00008    1.
    X00440  R00012    1.
    X00440  R00015    1.
    X00440  R00020    1.
    X00441  COST    0.997914
    X00441  R00009    1.
    X00441  R00010    1.
    X00441  R00011    1.
    X00441  R00015    1.
    X00441  R00018    1.
    X00442  COST    -0.986017
    X00442  R00010    1.
    X00443  COST    -0.975402
    X00443  R00008    1.
    X00443  R00011    1.
    X00444  COST    -0.978892
    X00444  R00012    1.
    X00445  COST    1.00361
    X00445  R00004    1.
    X00445  R00013    1.
    X00445  R00014    1.
    X00445  R00021    1.
    X00446  COST    -1.00005
    X00446  R00014    1.
    X00447  COST    -0.986343
    X00447  R00003    1.
    X00447  R00006    1.
    X00447  R00009    1.
    X00447  R00013    1.
    X00447  R00015    1.
    X00448  COST    -0.990242
    X00448  R00004    1.
    X00448  R00008    1.
    X00448  R00010    1.
    X00448  R00019    1.
    X00448  R00021    1.
    X00449  COST    -1.01312
    X00449  R00009    1.
    X00449  R00010    1.
    X00449  R00017    1.
    X00450  COST    -0.994019
    X00450  R00000    1.
    X00450  R00008    1.
    X00450  R00010    1.
    X00450  R00018    1.
    X00451  COST    0.989502
    X00451  R00007    1.
    X00451  R00014    1.
    X00451  R00016    1.
    X00451  R00021    1.
    X00452  COST    0.98795
    X00452  R00002    1.
    X00452  R00004    1.
    X00452  R00013    1.
    X00452  R00020    1.
    X00453  COST    -0.989294
    X00453  R00003    1.
